Rank (vitality),Source (vitality),Count (vitality),Source (DBLP),Count (DBLP),Full paper,Normalised Source abbr
1,CHI,"11,742",CHI,"14,390",yes,CHI
1,CHI,"11,742",CHI (1),33,yes,CHI
1,CHI,"11,742",CHI (2),46,yes,CHI
1,CHI,"11,742",CHI Extended Abstracts,"12,866",no,CHI EA
1,CHI,"11,742",CHI Conference Companion,522,no,CHI Companion
1,CHI,"11,742",CHI 95 Conference Companion,237,no,CHI Companion
2,CogSci,"7,358",CogSci,"2,354",yes,CogSci
3,KDD,"6,368",KDD,"6,370",yes,KDD
3,KDD,"6,368",KDD (1),506,yes,KDD
3,KDD,"6,368",KDD (2),594,yes,KDD
4,Comput. Graph. Forum,"4,975",Comput. Graph. Forum,"5,954",yes,CGF
5,IEEE Trans. Vis. Comput. Graph.,"4,485",IEEE Trans. Vis. Comput. Graph.,"7,133",yes,TVCG
6,SIGMOD Conference,"4,054",SIGMOD Conference,"4,560",yes,SIGMOD
7,IV,"3,653",IV,"4,890",yes,IV
7,IV,"3,653",IV (1),71,yes,IV
7,IV,"3,653",IV (2),30,yes,IV
8,ICDM,"3,390",ICDM,"4,265",yes,ICDM
9,Vis. Comput.,"3,117",Vis. Comput.,"5,374",yes,Vis. Comput.
10,J. Vis.,"2,909",J. Vis.,"1,606",yes,J. Vis.
11,IEEE Computer Graphics and Applications,"2,423",IEEE Computer Graphics and Applications,"3,141",yes,CG&A
12,UIST,"1,842",UIST,"1,882",yes,UIST
12,UIST,"1,842",ACM Symposium on User Interface Software and Technology,255,yes,UIST
12,UIST,"1,842",UIST (Adjunct Volume),"1,006",no,UIST Adjunct
12,UIST,"1,842",UIST Adjunct,180,no,UIST Adjunct
13,INTERACT (2),"1,821",INTERACT,"1,009",yes,INTERACT
13,INTERACT (2),"1,821",INTERACT (1),506,yes,INTERACT
13,INTERACT (2),"1,821",INTERACT (2),576,yes,INTERACT
13,INTERACT (2),"1,821",INTERACT (3),337,yes,INTERACT
13,INTERACT (2),"1,821",INTERACT (4),665,yes,INTERACT
13,INTERACT (2),"1,821",INTERACT (5),81,yes,INTERACT
14,Conference on Designing Interactive Systems,"1,682",Conference on Designing Interactive Systems,"1,995",yes,DIS
14,Conference on Designing Interactive Systems,"1,682",DIS,352,yes,DIS
14,Conference on Designing Interactive Systems,"1,682",Symposium on Designing Interactive Systems,192,yes,DIS
14,Conference on Designing Interactive Systems,"1,682",Conference on Designing Interactive Systems (Companion Volume),744,no,DIS Companion
14,Conference on Designing Interactive Systems,"1,682",onference on Designing Interactive Systems (Companion Volume),26,no,DIS Companion
14,Conference on Designing Interactive Systems,"1,682",DIS Companion,150,no,DIS Companion
15,IUI,"1,670",IUI,"2,022",yes,IUI
15,IUI,"1,670",IUI Companion,736,no,IUI Companion
16,CSCW,"1,554",CSCW,"1,748",yes,CSCW
16,CSCW,"1,554",CSCW Companion,"1,280",no,CSCW Companion
16,CSCW,"1,554",CSCW (Companion),102,no,CSCW Companion
17,SIGGRAPH,"1,199",SIGGRAPH,"1,561",yes,SIGGRAPH
18,UbiComp,"1,178",UbiComp,"1,191",yes,UbiComp
19,SIBGRAPI,"1,148",SIBGRAPI,"1,497",yes,SIBGRAPI
20,AVI,"1,128",AVI,"1,339",yes,AVI
20,AVI,"1,128",Advanced Visual Interfaces,119,yes,AVI
21,IEEE Visualization,"1,096",IEEE Visualization,"1,187",yes,VIS
21,IEEE Visualization,"1,096",IEEE VIS,66,yes,VIS
22,Eurographics (Short Papers),"1,037",Eurographics (Short Papers),421,no,Eurographics (Short Papers)
23,BCS HCI,856,BCS HCI,948,yes,BCS HCI
23,BCS HCI,856,BCS HCI (1),42,yes,BCS HCI
23,BCS HCI,856,BCS HCI (2),156,yes,BCS HCI
24,ACM Trans. Comput. Hum. Interact.,751,ACM Trans. Comput. Hum. Interact.,"1,013",yes,TOCHI
25,Diagrams,621,Diagrams,670,yes,Diagrams
26,Graphics Interface,578,Graphics Interface,914,yes,Graphics Interface
27,PacificVis,513,PacificVis,679,yes,PacificVis
28,IEEE VAST,469,IEEE VAST,482,yes,VAST
28,IEEE VAST,469,VAST,423,yes,VAST
28,IEEE VAST,469,IEEE VAST@IEEE VIS,10,yes,VAST
28,IEEE VAST,469,VAST (Short and Project Papers),55,no,VAST (Short Papers)
29,VAST,463,IEEE VAST,482,yes,VAST
29,VAST,463,VAST,423,yes,VAST
29,VAST,463,IEEE VAST@IEEE VIS,10,yes,VAST
29,VAST,463,VAST (Short and Project Papers),55,no,VAST (Short Papers)
30,SIGGRAPH Asia,327,SIGGRAPH Asia,538,yes,SIGGRAPH Asia
31,VMV,323,VMV,826,yes,VMV
32,VCBM,198,VCBM,232,yes,VCBM
33,BELIV,109,BELIV,145,yes,BELIV
34,International Conference on Supercomputing,85,International Conference on Supercomputing,348,yes,ICS
34,International Conference on Supercomputing,85,ICS,"2,136",yes,ICS
35,IVAPP,73,IVAPP,75,yes,IVAPP
36,Information Visualization,71,Inf. Vis.,554,yes,Inf. Vis.
37,IEEE VIS (Short Papers),58,IEEE VIS (Short Papers),244,no,VIS (Short Papers)
38,BioVis,53,BioVis,54,yes,BioVis
39,SciVis,53,SciVis,53,yes,SciVis
40,EuroVAST@EuroVis,22,EuroVA@EuroVis,169,no,EuroVA@EuroVis
41,Cognitive Biases in Visualizations,12,—,—,—,—
—,—,—,EuroVis,116,yes,EuroVis
—,—,—,EuroVis (STARs),15,yes,EuroVis (STARs)
—,—,—,EuroVis (Short Papers),293,no,EuroVis (Short Papers)
—,—,—,INFOVIS,287,yes,InfoVis
—,—,—,Proc. ACM Hum. Comput. Interact.,3759,yes,PACMHCI
