source,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
AVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,36,0,37,0,37,0,52,0,54,0,79,0,90,0,89,0,98,0,157,0,88,0,87,0,89,0,109,0,92,0,125,0,108
BCS HCI,0,0,0,0,0,0,0,0,0,0,0,0,0,28,36,0,0,0,0,0,30,29,24,23,21,0,29,0,0,0,23,31,0,101,97,67,59,87,57,62,57,75,105,105,0,0,0,0,0,0,0,0,0
BELIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,10,0,12,0,17,0,23,0,19,0,13,0,10,0,10,0,16,0,0
BioVis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0
CGA,0,0,0,0,0,0,0,0,0,0,81,56,79,76,37,48,47,56,45,56,68,70,82,81,85,84,90,76,83,83,89,92,76,79,76,70,72,72,81,73,73,80,67,79,76,62,71,93,76,80,87,89,45
CGF,0,0,0,0,0,0,0,0,27,25,42,54,34,30,24,25,24,25,61,65,66,59,65,60,49,59,76,85,73,74,71,75,77,78,228,232,250,235,238,241,238,240,239,249,262,279,312,242,275,246,258,287,0
CHI,0,0,0,0,0,0,0,79,75,58,0,41,55,58,48,73,71,98,112,0,359,313,300,281,81,273,277,321,277,301,371,402,494,408,553,662,658,811,821,1014,962,936,1129,1058,1214,1300,1320,1243,1128,1478,1705,2169,2707
CSCW,0,0,0,0,0,0,0,0,0,0,0,0,35,0,30,0,30,0,47,0,39,0,96,0,48,0,52,0,39,0,80,0,62,0,86,0,58,112,269,215,224,240,267,285,109,106,85,87,65,120,139,105,0
Cognitive Science,0,0,0,15,18,17,18,15,11,12,16,17,18,23,19,20,20,17,16,23,17,15,15,14,15,21,21,29,29,40,43,40,43,43,57,62,68,58,70,62,64,81,84,89,122,89,104,135,137,159,124,109,0
DIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,49,0,0,56,0,58,0,56,0,50,0,50,0,72,0,104,0,173,0,170,211,195,203,273,165,145,258,347,358,287
Diagrams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,39,0,60,0,38,0,58,0,51,0,49,0,30,0,28,0,81,0,54,57,35,0,44,0,0
EuroVis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,43,35,0,0,14,0,21,18,30,31,25,30,21,22,31,20,21,20,18,0,0
Graphics Interface,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,22,29,27,29,27,26,32,36,31,31,44,35,38,36,29,26,29,29,36,27,27,32,28,47,36,27,0,37,32,0
ICDM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,127,127,123,150,199,128,176,170,212,172,173,180,159,165,211,182,220,222,190,197,171,203,116,180,0
IUI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,41,27,47,48,27,61,75,87,68,78,61,78,74,81,94,84,95,71,93,87,123,144,157,131,104,102,137,102,155,187
IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,53,90,91,111,114,101,151,149,126,139,99,101,95,100,107,89,71,90,70,72,97,447,442,270,332,336,561,437,0
IVAPP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,36,0,0,0,0,0,0,0,0,0,0,0
InfoVis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,16,18,19,21,24,25,32,63,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Information Vis.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,26,21,23,28,21,24,27,23,25,22,19,21,20,21,22,20,27,17,16,23,19,22,25,22
Interact,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,75,0,140,0,96,0,185,0,215,0,126,0,163,0,241,0,290,0,236,0,229,0,161,0,213,0,247,0,206,0,179,0
Journal of Vis.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,67,67,77,85,69,57,55,48,39,42,36,68,71,73,78,88,84,87,84,85,72,70,35
KDD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,74,65,68,64,79,72,88,96,112,104,126,114,134,145,125,177,206,197,220,253,236,232,310,374,421,482,534,564,642,844,256
PacificVis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,29,30,30,32,34,58,46,41,41,29,32,30,29,24,26,43,45,48
SIBGRAPI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,42,69,85,87,52,50,47,44,40,38,44,50,46,45,48,45,45,60,60,62,35,45,54,53,46,53,89,0
SIGGRAPH,53,36,56,45,63,43,52,38,48,45,41,46,35,36,50,38,43,40,45,63,72,74,70,67,45,51,59,65,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIGGRAPH Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,53,122,146,201,0
SIGMOD,0,26,21,21,27,24,23,25,37,29,31,40,37,50,62,47,48,48,65,89,74,85,64,67,86,85,81,84,82,95,118,116,99,137,132,124,139,141,112,150,166,168,190,149,161,179,234,270,222,0,0,0,0
SciVis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,22,0,0,0,0,0,0,0,0
Supercomputing,0,0,0,0,0,0,0,0,0,0,0,0,0,62,67,51,42,47,46,43,45,51,50,43,59,57,33,45,34,37,35,42,39,31,40,68,74,90,38,66,273,43,43,28,121,45,145,39,98,40,86,83,105
TOCHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,12,13,10,14,20,12,15,14,16,24,19,15,24,21,18,23,32,36,28,41,40,37,41,41,46,47,60,91,83,68,25
TVCG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,35,30,28,26,29,30,30,49,66,72,171,178,166,163,162,245,271,277,247,126,242,248,294,290,305,384,424,457,608,845,603
The Visual Computer,0,0,0,0,0,0,0,0,0,0,0,24,37,22,42,30,33,34,38,42,27,35,42,27,46,40,37,42,39,48,49,89,96,98,102,104,136,100,103,118,117,132,140,133,140,141,183,225,301,445,576,797,364
UIST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,19,24,23,27,31,33,29,34,31,26,28,31,26,25,39,32,42,36,36,35,90,108,106,112,133,116,162,133,159,151,157,150,203,243,261,390,0
UbiComp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,29,27,26,22,30,29,42,31,40,126,220,93,95,122,115,0,59,54,0,0,0,0,0,0,0
VAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,28,17,61,66,65,79,110,102,97,0,107,68,19,54,29,34,10,0,0,0,0,0,0
VCBM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,17,0,17,0,22,30,0,22,0,27,17,16,16,14,12,0,0
VIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,50,53,55,65,56,72,77,78,74,76,74,78,80,111,134,0,0,0,0,0,0,0,0,0,0,0,0,0,59,59,41,33,52,66,0,0
VMV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,66,69,73,66,0,0,30,43,52,43,48,31,34,22,21,23,20,19,19,15,14,19,27,17,0,0
