source,total,with_doi,without_doi,doi_percent,with_abstract,without_abstract,abstract_percent,complete,complete_percent,with_doi_without_abstract,with_doi_without_abstract_percent,dblp_sources,year_min,year_max
AVI,1458,1427,31,97.87,1426,32,97.81,1426,97.81,1,0.07,AVI:1339; Advanced Visual Interfaces:119,1992,2026
BCS HCI,1146,331,815,28.88,183,963,15.97,183,15.97,148,12.91,BCS HCI:948; BCS HCI (2):156; BCS HCI (1):42,1987,2017
BELIV,145,145,0,100.00,145,0,100.00,145,100.00,0,0.00,BELIV:145,2006,2024
BioVis,54,54,0,100.00,54,0,100.00,54,100.00,0,0.00,BioVis:54,2011,2013
CGA,3141,3088,53,98.31,2939,202,93.57,2939,93.57,149,4.74,IEEE Computer Graphics and Applications:3141,1984,2026
CGF,5954,5932,22,99.63,5730,224,96.24,5730,96.24,202,3.39,Comput. Graph. Forum:5954,1982,2025
CHI,28094,28092,2,99.99,27898,196,99.30,27898,99.30,194,0.69,CHI:14390; CHI Extended Abstracts:12866; CHI Conference Companion:522; CHI 95 Conference Companion:237; CHI (2):46; CHI (1):33,1981,2026
Cognitive Science,2354,2350,4,99.83,2279,75,96.81,2279,96.81,71,3.02,Cogn. Sci.:2354,1977,2025
CSCW,3130,3130,0,100.00,3119,11,99.65,3119,99.65,11,0.35,CSCW:1748; CSCW Companion:1280; CSCW (Companion):102,1986,2025
Diagrams,670,670,0,100.00,69,601,10.30,69,10.30,601,89.70,Diagrams:670,2000,2024
DIS,3309,3308,1,99.97,3238,71,97.85,3238,97.85,70,2.12,Conference on Designing Interactive Systems:1995; Conference on Designing Interactive Systems (Companion Volume):744; DIS:352; Symposium on Designing Interactive Systems:192; onference on Designing Interactive Systems (Companion Volume):26,1995,2026
EuroVis,438,438,0,100.00,437,1,99.77,437,99.77,1,0.23,EuroVis (Short Papers):293; EuroVis:116; EuroVis (STARs):15; EuroVAST@EuroVis:14,2005,2024
Graphics Interface,914,277,637,30.31,276,638,30.20,276,30.20,1,0.11,Graphics Interface:914,1996,2025
ICDM,4265,4227,38,99.11,3837,428,89.96,3837,89.96,390,9.14,ICDM:4265,2001,2025
Information Vis.,554,554,0,100.00,525,29,94.77,525,94.77,29,5.23,Inf. Vis.:554,2002,2026
InfoVis,287,282,5,98.26,276,11,96.17,276,96.17,6,2.09,INFOVIS:287,1995,2005
Interact,3174,2291,883,72.18,742,2432,23.38,742,23.38,1549,48.80,INTERACT:1009; INTERACT (4):665; INTERACT (2):576; INTERACT (1):506; INTERACT (3):337; INTERACT (5):81,1990,2025
IUI,2758,2743,15,99.46,2732,26,99.06,2732,99.06,11,0.40,IUI:2022; IUI Companion:736,1993,2026
IV,4991,4981,10,99.80,4974,17,99.66,4974,99.66,7,0.14,IV:4890; IV (1):71; IV (2):30,1997,2025
IVAPP,75,73,2,97.33,73,2,97.33,73,97.33,0,0.00,IVAPP:75,2014,2015
Journal of Vis.,1606,1606,0,100.00,143,1463,8.90,143,8.90,1463,91.10,J. Vis.:1606,2003,2026
KDD,7470,7207,263,96.48,7110,360,95.18,7110,95.18,97,1.30,KDD:6370; KDD (2):594; KDD (1):506,1995,2026
PacificVis,679,679,0,100.00,678,1,99.85,678,99.85,1,0.15,PacificVis:679,2008,2026
SciVis,53,53,0,100.00,53,0,100.00,53,100.00,0,0.00,SciVis:53,2015,2018
SIBGRAPI,1497,1433,64,95.72,1433,64,95.72,1433,95.72,0,0.00,SIBGRAPI:1497,1998,2025
SIGGRAPH,1561,1535,26,98.33,1489,72,95.39,1489,95.39,46,2.95,SIGGRAPH:1561,1974,2003
SIGGRAPH Asia,538,538,0,100.00,538,0,100.00,538,100.00,0,0.00,SIGGRAPH Asia:538,2019,2025
SIGMOD,4560,4519,41,99.10,4452,108,97.63,4452,97.63,67,1.47,SIGMOD Conference:4560,1975,2022
Supercomputing,2484,2407,77,96.90,2162,322,87.04,2162,87.04,245,9.86,ICS:2136; International Conference on Supercomputing:348,1987,2026
The Visual Computer,5374,5370,4,99.93,468,4906,8.71,468,8.71,4902,91.22,Vis. Comput.:5374,1985,2026
TOCHI,1013,1005,8,99.21,1004,9,99.11,1004,99.11,1,0.10,ACM Trans. Comput. Hum. Interact.:1013,1994,2026
TVCG,7133,7115,18,99.75,7067,66,99.07,7067,99.07,48,0.67,IEEE Trans. Vis. Comput. Graph.:7133,1995,2026
UbiComp,1191,1191,0,100.00,1005,186,84.38,1005,84.38,186,15.62,UbiComp:1191,2001,2019
UIST,3323,3323,0,100.00,3303,20,99.40,3303,99.40,20,0.60,UIST:1882; UIST (Adjunct Volume):1006; ACM Symposium on User Interface Software and Technology:255; UIST Adjunct:180,1988,2025
VAST,970,970,0,100.00,969,1,99.90,969,99.90,1,0.10,IEEE VAST:482; VAST:423; VAST (Short and Project Papers):55; IEEE VAST@IEEE VIS:10,2003,2020
VCBM,232,232,0,100.00,230,2,99.14,230,99.14,2,0.86,VCBM:232,2008,2024
VIS,1497,1423,74,95.06,1399,98,93.45,1399,93.45,24,1.60,IEEE Visualization:1187; IEEE VIS (Short Papers):244; IEEE VIS:66,1990,2024
VMV,826,372,454,45.04,369,457,44.67,369,44.67,3,0.36,VMV:826,2000,2024
